,dataset,instance,interpreter,complex_model,result
0,blood,0,lime,rf,0.8939130434782608
1,blood,1,lime,rf,0.999
2,blood,2,lime,rf,0.994
3,blood,3,lime,rf,0.999
4,blood,4,lime,rf,0.8939130434782608
5,blood,5,lime,rf,0.254
6,blood,6,lime,rf,0.907
7,blood,7,lime,rf,0.67
8,blood,8,lime,rf,0.999
9,blood,9,lime,rf,0.5920000000000001
10,blood,10,lime,rf,0.79
11,blood,11,lime,rf,0.951
12,blood,12,lime,rf,0.903
13,blood,13,lime,rf,0.6859999999999999
14,blood,14,lime,rf,0.598
15,blood,15,lime,rf,0.966
16,blood,16,lime,rf,0.446
17,blood,17,lime,rf,0.8939130434782608
18,blood,18,lime,rf,0.043
19,blood,19,lime,rf,0.609
20,blood,20,lime,rf,0.08800000000000001
21,blood,21,lime,rf,0.998
22,blood,22,lime,rf,0.8939130434782608
23,blood,23,lime,rf,0.99
24,blood,24,lime,rf,0.892
25,blood,25,lime,rf,0.16
26,blood,26,lime,rf,0.8939130434782608
27,blood,27,lime,rf,0.8965217391304348
28,blood,28,lime,rf,0.929
29,blood,29,lime,rf,0.8939130434782608
30,blood,30,lime,rf,0.975
31,blood,31,lime,rf,0.813
32,blood,32,lime,rf,0.865
33,blood,33,lime,rf,0.992
34,blood,34,lime,rf,0.915
35,blood,35,lime,rf,0.98
36,blood,36,lime,rf,0.387
37,blood,37,lime,rf,0.145
38,blood,38,lime,rf,0.999
39,blood,39,lime,rf,0.999
40,blood,40,lime,rf,0.988
41,blood,41,lime,rf,0.999
42,blood,42,lime,rf,0.977
43,blood,43,lime,rf,0.984
44,blood,44,lime,rf,0.979
45,blood,45,lime,rf,0.36
46,blood,46,lime,rf,0.892
47,blood,47,lime,rf,0.365
48,blood,48,lime,rf,0.8939130434782608
49,blood,49,lime,rf,0.58
50,blood,50,lime,rf,0.998
51,blood,51,lime,rf,0.778
52,blood,52,lime,rf,0.8965217391304348
53,blood,53,lime,rf,0.8939130434782608
54,blood,54,lime,rf,0.8939130434782608
55,blood,55,lime,rf,0.015
56,blood,56,lime,rf,0.999
57,blood,57,lime,rf,0.954
58,blood,58,lime,rf,0.8939130434782608
59,blood,59,lime,rf,0.999
60,blood,60,lime,rf,0.8939130434782608
61,blood,61,lime,rf,0.8939130434782608
62,blood,62,lime,rf,0.759
63,blood,63,lime,rf,0.8939130434782608
64,blood,64,lime,rf,0.7709999999999999
65,blood,65,lime,rf,0.8939130434782608
66,blood,66,lime,rf,0.8939130434782608
67,blood,67,lime,rf,0.8939130434782608
68,blood,68,lime,rf,0.8939130434782608
69,blood,69,lime,rf,0.738
70,blood,70,lime,rf,0.994
71,blood,71,lime,rf,0.984
72,blood,72,lime,rf,0.994
73,blood,73,lime,rf,0.954
74,blood,74,lime,rf,0.716
75,blood,75,lime,rf,0.918
76,blood,76,lime,rf,0.61
77,blood,77,lime,rf,0.975
78,blood,78,lime,rf,0.8939130434782608
79,blood,79,lime,rf,0.82
80,blood,80,lime,rf,0.901
81,blood,81,lime,rf,0.959
82,blood,82,lime,rf,0.8947826086956522
83,blood,83,lime,rf,0.8640000000000001
84,blood,84,lime,rf,0.984
85,blood,85,lime,rf,0.8939130434782608
86,blood,86,lime,rf,0.98
87,blood,87,lime,rf,0.937
88,blood,88,lime,rf,0.8939130434782608
89,blood,89,lime,rf,0.984
90,blood,90,lime,rf,0.9
91,blood,91,lime,rf,0.993
92,blood,92,lime,rf,0.966
93,blood,93,lime,rf,0.97
94,blood,94,lime,rf,0.26
95,blood,95,lime,rf,0.96
96,blood,96,lime,rf,0.8939130434782608
97,blood,97,lime,rf,0.941
98,blood,98,lime,rf,0.8939130434782608
99,blood,99,lime,rf,0.139
100,blood,0,lime,mlp,0.9330434782608696
101,blood,1,lime,mlp,0.9330434782608696
102,blood,2,lime,mlp,0.9330434782608696
103,blood,3,lime,mlp,0.9330434782608696
104,blood,4,lime,mlp,0.9330434782608696
105,blood,5,lime,mlp,0.07400000000000001
106,blood,6,lime,mlp,0.994
107,blood,7,lime,mlp,0.999
108,blood,8,lime,mlp,0.9330434782608696
109,blood,9,lime,mlp,0.71
110,blood,10,lime,mlp,0.941
111,blood,11,lime,mlp,0.999
112,blood,12,lime,mlp,0.994
113,blood,13,lime,mlp,0.9330434782608696
114,blood,14,lime,mlp,0.6940000000000001
115,blood,15,lime,mlp,0.998
116,blood,16,lime,mlp,0.011
117,blood,17,lime,mlp,0.9330434782608696
118,blood,18,lime,mlp,0.1475
119,blood,19,lime,mlp,0.706
120,blood,20,lime,mlp,0.011
121,blood,21,lime,mlp,0.9330434782608696
122,blood,22,lime,mlp,0.9330434782608696
123,blood,23,lime,mlp,0.9330434782608696
124,blood,24,lime,mlp,0.983
125,blood,25,lime,mlp,0.006
126,blood,26,lime,mlp,0.9330434782608696
127,blood,27,lime,mlp,0.9330434782608696
128,blood,28,lime,mlp,0.992
129,blood,29,lime,mlp,0.9330434782608696
130,blood,30,lime,mlp,0.9330434782608696
131,blood,31,lime,mlp,0.868
132,blood,32,lime,mlp,0.897
133,blood,33,lime,mlp,0.9330434782608696
134,blood,34,lime,mlp,0.014
135,blood,35,lime,mlp,0.9330434782608696
136,blood,36,lime,mlp,0.209
137,blood,37,lime,mlp,0.011
138,blood,38,lime,mlp,0.9330434782608696
139,blood,39,lime,mlp,0.9330434782608696
140,blood,40,lime,mlp,0.9330434782608696
141,blood,41,lime,mlp,0.9330434782608696
142,blood,42,lime,mlp,0.994
143,blood,43,lime,mlp,0.9330434782608696
144,blood,44,lime,mlp,0.128
145,blood,45,lime,mlp,0.181
146,blood,46,lime,mlp,0.993
147,blood,47,lime,mlp,0.491
148,blood,48,lime,mlp,0.9330434782608696
149,blood,49,lime,mlp,0.1475
150,blood,50,lime,mlp,0.9330434782608696
151,blood,51,lime,mlp,0.936
152,blood,52,lime,mlp,0.9330434782608696
153,blood,53,lime,mlp,0.9330434782608696
154,blood,54,lime,mlp,0.9330434782608696
155,blood,55,lime,mlp,0.1475
156,blood,56,lime,mlp,0.9330434782608696
157,blood,57,lime,mlp,0.971
158,blood,58,lime,mlp,0.9330434782608696
159,blood,59,lime,mlp,0.9330434782608696
160,blood,60,lime,mlp,0.9330434782608696
161,blood,61,lime,mlp,0.9330434782608696
162,blood,62,lime,mlp,0.921
163,blood,63,lime,mlp,0.9330434782608696
164,blood,64,lime,mlp,0.942
165,blood,65,lime,mlp,0.9330434782608696
166,blood,66,lime,mlp,0.9330434782608696
167,blood,67,lime,mlp,0.998
168,blood,68,lime,mlp,0.976
169,blood,69,lime,mlp,0.994
170,blood,70,lime,mlp,0.601
171,blood,71,lime,mlp,0.9330434782608696
172,blood,72,lime,mlp,0.9330434782608696
173,blood,73,lime,mlp,0.996
174,blood,74,lime,mlp,0.995
175,blood,75,lime,mlp,0.812
176,blood,76,lime,mlp,0.002
177,blood,77,lime,mlp,0.995
178,blood,78,lime,mlp,0.9330434782608696
179,blood,79,lime,mlp,0.9330434782608696
180,blood,80,lime,mlp,0.991
181,blood,81,lime,mlp,0.997
182,blood,82,lime,mlp,0.9330434782608696
183,blood,83,lime,mlp,0.053
184,blood,84,lime,mlp,0.9330434782608696
185,blood,85,lime,mlp,0.9330434782608696
186,blood,86,lime,mlp,0.9330434782608696
187,blood,87,lime,mlp,0.856
188,blood,88,lime,mlp,0.9330434782608696
189,blood,89,lime,mlp,0.999
190,blood,90,lime,mlp,0.978
191,blood,91,lime,mlp,0.9330434782608696
192,blood,92,lime,mlp,0.994
193,blood,93,lime,mlp,0.998
194,blood,94,lime,mlp,0.067
195,blood,95,lime,mlp,0.995
196,blood,96,lime,mlp,0.9330434782608696
197,blood,97,lime,mlp,0.9330434782608696
198,blood,98,lime,mlp,0.9330434782608696
199,blood,99,lime,mlp,0.061
200,blood,0,lime,sgdc,0.9373913043478259
201,blood,1,lime,sgdc,0.9373913043478259
202,blood,2,lime,sgdc,0.9373913043478259
203,blood,3,lime,sgdc,0.9373913043478259
204,blood,4,lime,sgdc,0.9373913043478259
