,dataset,instance,interpreter,complex_model,result
0,diabetes,0,lime,rf,6.419308051867052
1,diabetes,1,lime,rf,0.2443374222255684
2,diabetes,2,lime,rf,0.09609768242111792
3,diabetes,3,lime,rf,0.018922225784281918
4,diabetes,4,lime,rf,3.1779869528712763
5,diabetes,5,lime,rf,0.1389366773793714
6,diabetes,6,lime,rf,0.2026070221891652
7,diabetes,7,lime,rf,4.8283870302793295
8,diabetes,8,lime,rf,5.467258601832088
9,diabetes,9,lime,rf,2.364944285605713
10,diabetes,10,lime,rf,2.6861921295138966
11,diabetes,11,lime,rf,0.33593015914950725
12,diabetes,12,lime,rf,0.9341841757642398
13,diabetes,13,lime,rf,0.1291392859913981
14,diabetes,14,lime,rf,1.2235543690462196
15,diabetes,15,lime,rf,0.07234398446055858
16,diabetes,16,lime,rf,0.1550013993929179
17,diabetes,17,lime,rf,0.012332759750692032
18,diabetes,18,lime,rf,0.6115516617035198
19,diabetes,19,lime,rf,0.0071977638975075295
20,diabetes,20,lime,rf,0.40963531413478144
21,diabetes,21,lime,rf,0.6670485518138237
22,diabetes,22,lime,rf,0.23431768899100194
23,diabetes,23,lime,rf,0.4201900564315746
24,diabetes,24,lime,rf,0.3350629535219107
25,diabetes,25,lime,rf,0.04613955801667606
26,diabetes,26,lime,rf,0.029250023561791683
27,diabetes,27,lime,rf,0.7094596991865519
28,diabetes,28,lime,rf,0.0618931479301609
29,diabetes,29,lime,rf,2.276512632832728
30,diabetes,30,lime,rf,0.04171211955606155
31,diabetes,31,lime,rf,4.7617269092300525
32,diabetes,32,lime,rf,1.6418073241752151
33,diabetes,33,lime,rf,0.7970693169017837
34,diabetes,34,lime,rf,5.069850662512863
35,diabetes,35,lime,rf,3.320263737537136
36,diabetes,36,lime,rf,0.0629960657042825
37,diabetes,37,lime,rf,1.9003900581186424
38,diabetes,38,lime,rf,0.4452226068397427
39,diabetes,39,lime,rf,0.5015577691211912
40,diabetes,40,lime,rf,1.6242118482950971
41,diabetes,41,lime,rf,0.6172151896044306
42,diabetes,42,lime,rf,0.3449608584437955
43,diabetes,43,lime,rf,1.8622028145791087
44,diabetes,44,lime,rf,2.0137957506175184
45,diabetes,45,lime,rf,0.07577000501664582
46,diabetes,46,lime,rf,2.7424518739160924
47,diabetes,47,lime,rf,0.0942837774373553
48,diabetes,48,lime,rf,3.163922176096834
49,diabetes,49,lime,rf,0.31801218359173145
50,diabetes,50,lime,rf,2.9616082236714454
51,diabetes,51,lime,rf,1.6349448549706045
52,diabetes,52,lime,rf,0.4363078217269898
53,diabetes,53,lime,rf,0.9682023735526076
54,diabetes,54,lime,rf,0.2280461484618636
55,diabetes,55,lime,rf,0.08335807062338005
56,diabetes,56,lime,rf,1.2410423474285663
57,diabetes,57,lime,rf,0.1954919428015724
58,diabetes,58,lime,rf,1.1418275566371079
59,diabetes,59,lime,rf,0.41051105938587135
60,diabetes,60,lime,rf,0.03702945585875561
61,diabetes,61,lime,rf,2.566457403348668
62,diabetes,62,lime,rf,0.6596604959403224
63,diabetes,63,lime,rf,1.5211520896793298
64,diabetes,64,lime,rf,0.6459479879755176
65,diabetes,65,lime,rf,1.8258328477172021
66,diabetes,66,lime,rf,5.087849814234317
67,diabetes,67,lime,rf,2.597739248701456
68,diabetes,68,lime,rf,0.09574716903501468
69,diabetes,69,lime,rf,2.0023352334387314
70,diabetes,70,lime,rf,6.004713895536659
71,diabetes,71,lime,rf,1.3153493647439414
72,diabetes,72,lime,rf,5.508436757506561
73,diabetes,73,lime,rf,2.3877688063980087
74,diabetes,74,lime,rf,0.4357138855673499
75,diabetes,75,lime,rf,0.20040783735348106
76,diabetes,76,lime,rf,0.0189381528374613
77,diabetes,77,lime,rf,0.3992565097350537
78,diabetes,78,lime,rf,5.6128782434575735
79,diabetes,79,lime,rf,2.5782102984528192
80,diabetes,80,lime,rf,0.0315338248939227
81,diabetes,81,lime,rf,0.4733353594773749
82,diabetes,82,lime,rf,0.2873703129953343
83,diabetes,83,lime,rf,0.7716840939596252
84,diabetes,84,lime,rf,0.022010821516748942
85,diabetes,85,lime,rf,0.13380892652533494
86,diabetes,86,lime,rf,0.17150856045600724
87,diabetes,87,lime,rf,1.179857811500329
88,diabetes,88,lime,rf,0.8589430706309342
89,diabetes,89,lime,rf,0.4527841580145831
90,diabetes,90,lime,rf,0.5601266591209229
91,diabetes,91,lime,rf,3.742983410056085
92,diabetes,92,lime,rf,0.06749256341560686
93,diabetes,93,lime,rf,0.14845725084299766
94,diabetes,94,lime,rf,0.07276762862501157
95,diabetes,95,lime,rf,0.45026355529618267
96,diabetes,96,lime,rf,2.8332143103764023
97,diabetes,97,lime,rf,1.3573863489685916
98,diabetes,98,lime,rf,0.5745050812138824
99,diabetes,99,lime,rf,1.4504531820541482
100,diabetes,0,lime,mlp,5.191676318447193
101,diabetes,1,lime,mlp,0.8797133190502721
102,diabetes,2,lime,mlp,1.2376405987548615
103,diabetes,3,lime,mlp,0.4387711197215689
104,diabetes,4,lime,mlp,8.343130135938672
105,diabetes,5,lime,mlp,0.031224933929008526
106,diabetes,6,lime,mlp,0.14751377439360866
107,diabetes,7,lime,mlp,13.706717254701545
108,diabetes,8,lime,mlp,12.348445599873045
109,diabetes,9,lime,mlp,4.934742270945406
110,diabetes,10,lime,mlp,12.489943944103002
111,diabetes,11,lime,mlp,0.6876630874796926
112,diabetes,12,lime,mlp,1.1966554397086109
113,diabetes,13,lime,mlp,2.5573157993207785
114,diabetes,14,lime,mlp,0.1681041330824044
115,diabetes,15,lime,mlp,1.1076907165874756
116,diabetes,16,lime,mlp,0.036085847831538335
117,diabetes,17,lime,mlp,0.3724903803131372
118,diabetes,18,lime,mlp,1.9728653067933832
119,diabetes,19,lime,mlp,0.05372585909157982
120,diabetes,20,lime,mlp,3.196168447722242
121,diabetes,21,lime,mlp,0.4274216128940675
122,diabetes,22,lime,mlp,1.0072415632924387
123,diabetes,23,lime,mlp,0.052750184222731485
124,diabetes,24,lime,mlp,0.7920669593409692
125,diabetes,25,lime,mlp,0.04339762545911242
126,diabetes,26,lime,mlp,0.30727850070798385
127,diabetes,27,lime,mlp,2.5032534834470868
128,diabetes,28,lime,mlp,0.3565545113621686
129,diabetes,29,lime,mlp,2.8901973790909965
130,diabetes,30,lime,mlp,1.3470896127711305
131,diabetes,31,lime,mlp,0.11939167791605845
132,diabetes,32,lime,mlp,4.010339946949453
133,diabetes,33,lime,mlp,0.6717032526781836
134,diabetes,34,lime,mlp,9.699161202632336
135,diabetes,35,lime,mlp,5.051265046319236
136,diabetes,36,lime,mlp,0.0887032719421996
137,diabetes,37,lime,mlp,2.501136413542296
138,diabetes,38,lime,mlp,0.1903317864201525
139,diabetes,39,lime,mlp,0.3098180470523205
140,diabetes,40,lime,mlp,1.9397980936250123
141,diabetes,41,lime,mlp,1.7384567910372477
142,diabetes,42,lime,mlp,3.3449587809177705
143,diabetes,43,lime,mlp,6.003075845062562
144,diabetes,44,lime,mlp,3.589504049451972
145,diabetes,45,lime,mlp,0.026328809306888468
146,diabetes,46,lime,mlp,4.032782560953089
147,diabetes,47,lime,mlp,0.4196064182007653
148,diabetes,48,lime,mlp,9.676499056323435
149,diabetes,49,lime,mlp,0.08812467840590481
150,diabetes,50,lime,mlp,5.509494964765248
151,diabetes,51,lime,mlp,2.8269501930169936
